Day;AnimalsCount;GrassCount;EmptyFields;MostPopularGene;AverageEnergy;AverageLifespan;AverageChildrenCount
1;13;13;78;[4, 0, 2, 0, 6, 2, 7, 0];8.94;0.0;0.13
2;15;16;71;[4, 0, 2, 0, 6, 2, 7, 0];8.38;0.0;0.13
3;13;19;70;[4, 0, 2, 0, 6, 2, 7, 0];6.89;0.0;0.33
4;16;23;62;[4, 0, 2, 0, 6, 2, 7, 0];6.28;0.0;0.33
5;13;27;62;[4, 0, 2, 0, 6, 2, 7, 0];5.21;0.0;0.42
6;15;28;60;[4, 0, 2, 0, 6, 2, 7, 0];5.33;5.0;0.39
7;15;28;59;[4, 0, 2, 0, 6, 2, 7, 0];6.0;5.0;0.31
8;11;30;61;[4, 0, 2, 0, 6, 2, 7, 0];6.2;5.0;0.27
9;13;31;59;[4, 0, 2, 0, 6, 2, 7, 0];6.79;5.6;0.21
10;13;31;59;[2, 2, 4, 3, 4, 7, 4, 4];7.0;5.6;0.21
11;10;34;57;[2, 2, 4, 3, 4, 7, 4, 4];7.83;6.57;0.17
12;12;35;57;[2, 2, 4, 3, 4, 7, 4, 4];7.92;6.57;0.17
13;11;38;52;[2, 2, 4, 3, 4, 7, 4, 4];8.27;7.13;0.09
14;10;38;55;[2, 2, 4, 3, 4, 7, 4, 4];9.7;7.78;0.1
15;9;41;51;[2, 2, 4, 3, 4, 7, 4, 4];9.5;7.78;0.1
16;10;41;51;[2, 2, 4, 3, 4, 7, 4, 4];10.2;7.78;0.1
17;9;42;52;[2, 2, 4, 3, 4, 7, 4, 4];10.5;7.78;0.1
18;9;43;50;[2, 2, 4, 3, 4, 7, 4, 4];12.11;8.3;0.11
19;9;44;51;[2, 2, 4, 3, 4, 7, 4, 4];12.44;8.3;0.11
20;8;45;49;[2, 2, 4, 3, 4, 7, 4, 4];12.89;8.3;0.11
21;7;47;49;[2, 2, 4, 3, 4, 7, 4, 4];12.1;8.3;0.3
