Day;AnimalsCount;GrassCount;EmptyFields;MostPopularGene;AverageEnergy;AverageLifespan;AverageChildrenCount
1;11;13;77;[2, 1, 7, 4, 0, 5, 6, 1];8.29;0.0;0.24
2;13;16;73;[2, 1, 7, 4, 0, 5, 6, 1];7.65;0.0;0.24
3;13;18;70;[2, 1, 7, 4, 0, 5, 6, 1];7.11;0.0;0.33
4;15;21;66;[2, 1, 7, 4, 0, 5, 6, 1];6.67;0.0;0.33
5;14;26;62;[2, 1, 7, 4, 0, 5, 6, 1];5.58;0.0;0.42
6;14;27;61;[2, 1, 7, 4, 0, 5, 6, 1];6.69;5.0;0.31
7;14;28;63;[2, 1, 7, 4, 0, 5, 6, 1];6.63;5.0;0.31
8;14;28;61;[2, 1, 7, 4, 0, 5, 6, 1];6.75;5.0;0.31
9;12;29;62;[2, 1, 7, 4, 0, 5, 6, 1];6.75;5.0;0.31
10;14;31;58;[2, 1, 7, 4, 0, 5, 6, 1];7.57;5.6;0.21
11;13;33;57;[2, 5, 0, 6, 6, 5, 2, 6];8.15;5.5;0.15
12;10;35;57;[2, 5, 0, 6, 6, 5, 2, 6];9.82;6.75;0.09
13;11;36;55;[2, 5, 0, 6, 6, 5, 2, 6];10.09;6.75;0.09
14;11;33;60;[2, 5, 0, 6, 6, 5, 2, 6];11.45;6.75;0.09
15;11;32;61;[2, 5, 0, 6, 6, 5, 2, 6];12.18;6.75;0.09
16;10;33;59;[2, 5, 0, 6, 6, 5, 2, 6];12.55;6.75;0.09
17;11;34;59;[2, 5, 0, 6, 6, 5, 2, 6];12.82;6.75;0.09
18;10;36;57;[2, 5, 0, 6, 6, 5, 2, 6];14.3;7.11;0.1
19;9;37;57;[2, 5, 0, 6, 6, 5, 2, 6];16.56;8.0;0.11
20;9;39;54;[2, 5, 0, 6, 6, 5, 2, 6];16.78;8.0;0.11
21;9;41;51;[2, 5, 0, 6, 6, 5, 2, 6];17.0;8.0;0.11
22;9;44;49;[2, 5, 0, 6, 6, 5, 2, 6];17.0;8.0;0.11
23;8;45;49;[2, 5, 0, 6, 6, 5, 2, 6];17.44;8.0;0.11
24;8;47;47;[2, 5, 0, 6, 6, 5, 2, 6];16.2;8.0;0.3
25;10;48;43;[2, 5, 0, 6, 6, 5, 2, 6];16.6;8.0;0.3
26;10;48;44;[2, 5, 0, 6, 6, 5, 2, 6];17.3;8.0;0.3
27;10;49;43;[2, 5, 0, 6, 6, 5, 2, 6];17.9;8.0;0.3
28;9;51;41;[2, 5, 0, 6, 6, 5, 2, 6];18.2;8.0;0.3
29;10;53;40;[2, 5, 0, 6, 6, 5, 2, 6];18.5;8.0;0.3
30;10;53;40;[2, 5, 0, 6, 6, 5, 2, 6];19.2;8.0;0.3
31;9;54;39;[2, 5, 0, 6, 6, 5, 2, 6];20.0;8.0;0.3
32;9;57;36;[2, 5, 0, 6, 6, 5, 2, 6];18.09;8.0;0.45
33;9;59;33;[2, 5, 0, 6, 6, 5, 2, 6];16.67;8.0;0.58
34;11;57;33;[2, 1, 7, 4, 0, 5, 6, 1];16.54;8.0;0.69
35;11;59;33;[2, 1, 7, 4, 0, 5, 6, 1];15.43;8.0;0.79
36;13;58;31;[2, 1, 7, 4, 0, 5, 6, 1];16.07;8.0;0.79
37;14;58;30;[2, 1, 7, 4, 0, 5, 6, 1];16.5;8.0;0.79
38;12;59;31;[2, 1, 7, 4, 0, 5, 6, 1];16.57;8.0;0.79
39;12;59;32;[2, 1, 7, 4, 0, 5, 6, 1];17.0;9.0;0.93
40;12;57;34;[2, 1, 7, 4, 0, 5, 6, 1];17.79;9.0;0.93
41;12;58;30;[2, 0, 5, 1, 2, 0, 6, 4];16.8;9.0;1.0
42;14;56;33;[2, 0, 5, 1, 2, 0, 6, 4];16.19;9.0;1.06
43;14;55;35;[2, 0, 5, 1, 2, 0, 6, 4];17.6;9.33;0.93
44;12;54;37;[2, 0, 5, 1, 2, 0, 6, 4];18.2;9.33;0.93
45;12;55;36;[2, 0, 5, 1, 2, 0, 6, 4];17.38;9.08;1.0
