Day;AnimalsCount;GrassCount;EmptyFields;MostPopularGene;AverageEnergy;AverageLifespan;AverageChildrenCount
46;15;53;36;[2, 0, 5, 1, 2, 0, 6, 4];16.76;9.08;1.06
47;14;48;41;[2, 0, 5, 1, 2, 0, 6, 4];16.83;9.08;1.11
48;13;48;41;[2, 0, 5, 1, 2, 0, 6, 4];17.28;8.79;1.17
49;13;51;37;[2, 0, 5, 1, 2, 0, 6, 4];14.0;8.79;1.32
50;19;45;40;[2, 0, 5, 1, 2, 0, 6, 4];14.91;8.79;1.32
51;15;45;44;[2, 0, 5, 1, 2, 0, 6, 4];14.57;8.79;1.35
52;16;43;45;[2, 0, 5, 1, 2, 0, 6, 4];14.04;8.79;1.4
53;16;44;43;[2, 0, 5, 1, 2, 0, 6, 4];12.43;8.79;1.46
54;19;44;40;[2, 1, 7, 2, 1, 6, 6, 4];12.14;10.73;1.41
55;18;42;42;[2, 1, 7, 2, 1, 6, 6, 4];11.22;10.56;1.5
56;20;40;41;[2, 1, 7, 2, 1, 6, 6, 4];10.4;11.06;1.51
57;21;39;44;[2, 1, 7, 2, 1, 6, 6, 4];10.2;10.89;1.57
58;18;39;46;[2, 1, 7, 2, 1, 6, 6, 4];9.54;10.5;1.59
59;26;38;38;[7, 1, 2, 2, 0, 1, 2, 4];8.4;10.5;1.64
60;26;39;38;[7, 1, 2, 2, 0, 1, 2, 4];8.14;10.48;1.69
61;26;38;37;[7, 1, 2, 2, 0, 1, 2, 4];7.33;10.5;1.73
62;27;34;42;[7, 1, 2, 2, 0, 1, 2, 4];7.33;10.32;1.72
63;30;30;41;[7, 1, 2, 2, 0, 1, 2, 4];7.6;11.58;1.62
64;30;28;46;[7, 1, 2, 2, 0, 1, 2, 4];7.39;11.27;1.67
65;29;27;45;[7, 1, 2, 2, 0, 1, 2, 4];7.11;11.0;1.65
66;27;25;50;[7, 1, 2, 2, 0, 1, 2, 4];6.91;10.97;1.66
67;25;24;54;[7, 1, 2, 2, 0, 1, 2, 4];7.64;11.67;1.55
68;29;25;48;[7, 1, 2, 2, 0, 1, 2, 4];7.26;11.98;1.52
69;28;24;50;[7, 1, 2, 2, 0, 1, 2, 4];6.88;11.98;1.53
70;29;22;52;[1, 1, 2, 4, 2, 5, 0, 5];7.05;12.26;1.57
71;30;22;49;[1, 1, 2, 4, 2, 5, 0, 5];6.72;12.29;1.6
72;31;19;52;[3, 5, 3, 0, 4, 7, 4, 4];6.5;12.26;1.64
73;34;18;48;[3, 5, 3, 0, 4, 7, 4, 4];6.73;12.17;1.56
74;28;17;56;[3, 5, 3, 0, 4, 7, 4, 4];6.6;12.11;1.63
75;27;18;55;[3, 5, 3, 0, 4, 7, 4, 4];6.2;12.17;1.68
76;27;20;54;[3, 5, 3, 0, 4, 7, 4, 4];6.45;12.1;1.76
77;24;18;61;[3, 5, 3, 0, 4, 7, 4, 4];6.67;11.91;1.83
78;24;20;58;[3, 5, 3, 0, 4, 7, 4, 4];7.77;11.74;1.93
79;22;18;62;[3, 5, 3, 0, 4, 7, 4, 4];7.34;11.74;1.94
80;23;14;67;[3, 5, 3, 0, 4, 7, 4, 4];7.87;11.64;2.0
81;23;15;63;[3, 5, 3, 0, 4, 7, 4, 4];7.73;11.84;1.9
82;21;18;63;[3, 5, 3, 0, 4, 7, 4, 4];7.93;12.54;1.68
83;23;14;64;[3, 5, 3, 0, 4, 7, 4, 4];8.11;12.54;1.68
84;22;14;68;[3, 5, 3, 0, 4, 7, 4, 4];7.93;12.58;1.64
85;21;17;65;[3, 5, 3, 0, 4, 7, 4, 4];7.2;12.58;1.67
86;20;18;65;[3, 5, 3, 0, 4, 7, 4, 4];7.38;12.86;1.55
87;19;19;62;[5, 1, 4, 4, 4, 0, 6, 4];7.38;13.02;1.48
88;19;20;62;[5, 1, 4, 4, 4, 0, 6, 4];7.39;12.99;1.5
89;17;20;65;[7, 2, 0, 1, 0, 6, 4, 6];7.77;13.07;1.46
90;17;21;64;[4, 7, 2, 7, 1, 6, 4, 1];8.04;13.4;1.52
91;18;21;63;[4, 7, 2, 7, 1, 6, 4, 1];7.69;13.4;1.54
92;19;21;61;[4, 7, 2, 7, 1, 6, 4, 1];7.52;13.55;1.56
93;21;16;65;[4, 7, 2, 7, 1, 6, 4, 1];7.75;13.53;1.57
94;22;19;61;[4, 7, 2, 7, 1, 6, 4, 1];7.0;13.46;1.55
95;19;20;63;[7, 2, 0, 1, 0, 6, 4, 6];6.86;13.49;1.5
96;20;22;61;[7, 2, 0, 1, 0, 6, 4, 6];7.44;14.05;1.32
97;20;21;62;[5, 2, 6, 5, 4, 1, 3, 4];7.42;14.13;1.42
98;20;22;61;[6, 3, 6, 0, 4, 5, 0, 2];7.23;14.12;1.5
99;19;25;57;[4, 3, 4, 1, 3, 0, 1, 1];7.08;14.46;1.48
100;21;28;53;[4, 3, 4, 1, 3, 0, 1, 1];6.83;14.6;1.54
101;20;29;55;[4, 3, 4, 1, 3, 0, 1, 1];6.24;14.6;1.56
102;15;29;59;[4, 2, 6, 0, 3, 2, 7, 1];6.78;14.76;1.65
103;13;29;62;[4, 2, 6, 0, 3, 2, 7, 1];8.74;14.67;1.84
104;15;29;58;[4, 2, 6, 0, 3, 2, 7, 1];8.4;14.67;1.85
105;13;30;59;[6, 3, 6, 0, 4, 5, 0, 2];8.4;14.98;1.65
106;13;30;60;[6, 3, 6, 0, 4, 5, 0, 2];8.24;15.04;1.67
107;14;30;60;[6, 4, 2, 3, 0, 5, 7, 0];8.05;15.04;1.68
108;14;27;63;[6, 4, 2, 3, 0, 5, 7, 0];8.43;15.01;1.7
109;15;27;60;[7, 2, 7, 1, 3, 4, 1, 4];8.17;15.01;1.71
110;13;27;63;[7, 2, 7, 1, 3, 4, 1, 4];8.57;15.25;1.65
111;16;26;60;[7, 2, 7, 1, 3, 4, 1, 4];7.92;15.25;1.69
112;18;22;62;[7, 2, 7, 1, 3, 4, 1, 4];7.62;15.25;1.72
113;19;23;59;[7, 2, 7, 1, 3, 4, 1, 4];6.91;15.25;1.75
114;23;24;56;[7, 2, 7, 1, 3, 4, 1, 4];6.32;15.25;1.76
115;20;23;59;[7, 2, 7, 1, 3, 4, 1, 4];5.89;15.25;1.78
116;27;23;54;[7, 2, 7, 1, 3, 4, 1, 4];5.57;15.22;1.81
117;24;22;57;[7, 2, 7, 1, 3, 4, 1, 4];5.37;15.22;1.82
118;26;21;56;[7, 2, 7, 1, 3, 4, 1, 4];5.5;15.11;1.89
119;24;22;56;[7, 2, 7, 1, 3, 4, 1, 4];5.06;15.11;1.89
120;26;22;55;[7, 2, 7, 1, 3, 4, 1, 4];4.73;15.11;1.89
121;28;21;53;[7, 2, 7, 1, 3, 4, 1, 4];4.71;15.11;1.89
122;26;20;57;[7, 3, 3, 0, 0, 1, 2, 6];4.3;15.11;1.9
123;23;16;62;[7, 3, 3, 0, 0, 1, 2, 6];4.89;15.08;1.97
124;25;18;60;[7, 3, 3, 0, 0, 1, 2, 6];4.81;15.02;2.0
125;25;17;59;[7, 3, 3, 0, 0, 1, 2, 6];4.62;14.98;2.0
126;24;19;60;[7, 3, 3, 0, 0, 1, 2, 6];4.27;15.03;1.97
127;19;21;61;[7, 3, 3, 0, 0, 1, 2, 6];4.48;15.02;2.0
128;20;23;59;[7, 3, 3, 0, 0, 1, 2, 6];4.34;15.07;2.0
129;18;22;62;[7, 3, 3, 0, 0, 1, 2, 6];4.83;16.0;1.67
130;20;24;58;[7, 4, 2, 3, 7, 1, 1, 0];4.66;15.94;1.69
131;16;24;62;[7, 4, 2, 3, 7, 1, 1, 0];5.4;15.72;1.76
132;20;25;56;[7, 4, 2, 3, 7, 1, 1, 0];5.12;15.81;1.62
133;20;26;58;[7, 4, 2, 3, 7, 1, 1, 0];5.08;15.78;1.65
134;18;27;57;[7, 4, 2, 3, 7, 1, 1, 0];4.78;15.76;1.74
135;22;24;57;[7, 4, 2, 3, 7, 1, 1, 0];5.04;15.72;1.79
136;20;24;60;[0, 0, 3, 7, 0, 1, 7, 2];5.19;15.8;1.78
137;22;25;55;[0, 0, 3, 7, 0, 1, 7, 2];5.15;15.76;1.92
138;17;27;58;[0, 0, 3, 7, 0, 1, 7, 2];4.85;15.76;1.93
139;22;30;52;[0, 0, 3, 7, 0, 1, 7, 2];4.21;15.76;1.93
140;19;28;57;[0, 0, 3, 7, 0, 1, 7, 2];5.16;15.7;1.96
141;20;27;56;[0, 0, 3, 7, 0, 1, 7, 2];5.25;15.65;2.0
142;15;27;62;[0, 0, 3, 7, 0, 1, 7, 2];5.33;15.62;2.0
143;17;29;57;[4, 0, 5, 6, 3, 3, 0, 6];5.04;15.59;2.08
144;16;27;60;[4, 5, 6, 7, 4, 3, 0, 6];5.87;15.61;2.13
145;17;26;59;[4, 5, 6, 7, 4, 3, 0, 6];5.75;15.61;2.13
146;17;26;60;[4, 5, 6, 7, 4, 3, 0, 6];6.45;15.82;2.0
147;19;27;55;[4, 5, 6, 7, 4, 3, 0, 6];6.41;15.87;2.0
148;18;26;59;[4, 5, 6, 7, 4, 3, 0, 6];6.55;15.85;1.95
149;16;26;60;[4, 5, 6, 7, 4, 3, 0, 6];6.64;15.84;2.05
150;19;28;56;[4, 5, 6, 7, 4, 3, 0, 6];6.26;15.84;2.04
151;16;28;59;[4, 5, 6, 7, 4, 3, 0, 6];6.55;16.01;2.18
152;18;27;59;[6, 7, 1, 4, 5, 1, 0, 6];6.35;16.01;2.17
153;14;29;61;[6, 7, 1, 4, 5, 1, 0, 6];6.64;15.94;2.32
154;14;28;60;[6, 7, 1, 4, 5, 1, 0, 6];6.48;15.93;2.22
155;17;30;56;[6, 7, 1, 4, 5, 1, 0, 6];5.76;15.93;2.2
156;16;29;57;[6, 7, 1, 4, 5, 1, 0, 6];5.96;15.93;2.19
157;15;29;59;[6, 7, 1, 4, 5, 1, 0, 6];5.59;15.91;2.17
158;20;27;56;[6, 7, 1, 4, 5, 1, 0, 6];5.35;15.91;2.16
159;20;25;57;[6, 7, 1, 4, 5, 1, 0, 6];5.18;15.85;2.12
160;23;23;57;[6, 7, 1, 4, 5, 1, 0, 6];5.68;15.96;2.13
161;17;25;60;[6, 7, 1, 4, 5, 1, 0, 6];5.7;15.94;2.07
162;20;24;57;[4, 2, 2, 0, 3, 4, 1, 3];5.45;15.94;2.06
163;23;22;56;[4, 2, 2, 0, 3, 4, 1, 3];5.67;15.82;2.13
164;22;26;56;[4, 2, 2, 0, 3, 4, 1, 3];4.97;15.81;2.17
165;21;22;59;[4, 2, 2, 0, 3, 4, 1, 3];5.31;15.72;2.17
166;22;20;59;[4, 2, 2, 0, 3, 4, 1, 3];5.13;15.72;2.17
167;20;22;60;[6, 7, 1, 4, 5, 1, 0, 6];5.48;15.68;2.26
168;21;23;58;[6, 7, 1, 4, 5, 1, 0, 6];5.56;15.6;2.36
169;18;23;60;[4, 0, 5, 6, 3, 3, 0, 6];5.63;15.68;2.21
170;20;24;59;[4, 0, 5, 6, 3, 3, 0, 6];5.91;15.66;2.36
171;18;25;58;[1, 4, 4, 1, 3, 4, 5, 3];5.48;15.66;2.35
172;17;26;59;[1, 4, 4, 1, 3, 4, 5, 3];5.95;15.79;2.43
173;14;27;62;[1, 4, 4, 1, 3, 4, 5, 3];5.64;15.77;2.5
174;15;28;58;[1, 4, 4, 1, 3, 4, 5, 3];5.77;15.77;2.59
175;14;31;56;[1, 4, 4, 1, 3, 4, 5, 3];6.15;15.87;2.65
176;15;30;58;[1, 4, 4, 1, 3, 4, 5, 3];6.68;15.84;2.63
177;17;30;56;[1, 4, 4, 1, 3, 4, 5, 3];6.74;15.84;2.63
178;13;30;58;[1, 4, 4, 1, 3, 4, 5, 3];7.88;15.81;2.76
179;14;31;58;[1, 4, 4, 1, 3, 4, 5, 3];7.5;15.81;2.72
180;13;31;60;[1, 4, 4, 1, 3, 4, 5, 3];7.47;15.81;2.68
181;13;34;55;[1, 4, 4, 1, 3, 4, 5, 3];6.75;15.81;2.65
182;15;33;56;[1, 4, 4, 1, 3, 4, 5, 3];7.0;15.77;2.7
183;14;34;54;[1, 4, 4, 1, 3, 4, 5, 3];6.76;15.79;2.62
184;15;31;59;[1, 4, 4, 1, 3, 4, 5, 3];6.54;15.79;2.54
185;16;30;57;[1, 4, 4, 1, 3, 4, 5, 3];7.0;15.8;2.63
186;16;28;59;[1, 4, 4, 1, 3, 4, 5, 3];8.05;15.75;2.68
187;15;26;62;[1, 4, 4, 1, 3, 4, 5, 3];7.83;15.75;2.63
188;15;27;59;[1, 4, 4, 1, 3, 4, 5, 3];7.46;15.75;2.58
189;17;29;57;[1, 4, 4, 1, 3, 4, 5, 3];6.59;15.75;2.52
190;18;30;55;[1, 4, 4, 1, 3, 4, 5, 3];6.03;15.72;2.47
191;21;30;53;[1, 4, 4, 1, 3, 4, 5, 3];5.8;15.83;2.47
192;22;30;51;[1, 4, 4, 1, 3, 4, 5, 3];5.61;15.8;2.48
193;19;31;52;[1, 4, 4, 1, 3, 4, 5, 3];5.9;16.0;2.55
194;20;28;55;[1, 6, 3, 1, 7, 2, 7, 0];6.81;15.86;2.67
195;19;28;57;[1, 2, 1, 1, 7, 1, 6, 3];7.08;15.87;2.5
196;20;27;57;[1, 2, 1, 1, 7, 1, 6, 3];7.58;15.82;2.54
197;17;27;60;[1, 2, 1, 1, 7, 1, 6, 3];7.54;15.8;2.63
198;18;28;55;[1, 6, 3, 1, 7, 2, 7, 0];6.65;15.8;2.58
199;16;29;57;[1, 6, 3, 1, 7, 2, 7, 0];6.58;15.8;2.58
200;18;28;56;[1, 6, 3, 1, 7, 2, 7, 0];6.33;15.8;2.56
201;17;26;60;[1, 3, 5, 2, 0, 0, 6, 2];6.39;15.78;2.57
202;20;25;58;[1, 3, 5, 2, 0, 0, 6, 2];6.7;15.75;2.67
203;19;27;58;[1, 3, 5, 2, 0, 0, 6, 2];6.26;15.89;2.48
204;18;27;58;[1, 3, 5, 2, 0, 0, 6, 2];6.14;15.86;2.46
205;19;20;62;[1, 3, 5, 2, 0, 0, 6, 2];7.6;15.96;2.52
206;17;20;64;[1, 3, 5, 2, 0, 0, 6, 2];8.26;16.0;2.52
207;19;21;63;[1, 3, 5, 2, 0, 0, 6, 2];8.09;16.0;2.52
208;18;23;60;[1, 3, 5, 2, 0, 0, 6, 2];7.5;16.0;2.5
209;19;23;61;[1, 3, 5, 2, 0, 0, 6, 2];7.28;16.0;2.48
210;17;23;61;[1, 3, 5, 2, 0, 0, 6, 2];7.67;15.95;2.54
211;17;24;60;[1, 3, 5, 2, 0, 0, 6, 2];6.85;15.95;2.5
212;17;23;63;[1, 3, 5, 2, 0, 0, 6, 2];7.04;15.97;2.64
213;18;24;59;[1, 3, 5, 2, 0, 0, 6, 2];6.0;15.97;2.57
214;18;23;63;[1, 3, 5, 2, 0, 0, 6, 2];6.07;15.97;2.57
215;17;24;60;[1, 3, 5, 2, 0, 0, 6, 2];5.93;15.88;2.61
216;20;23;60;[1, 3, 5, 2, 0, 0, 6, 2];6.19;15.95;2.44
217;22;24;57;[1, 6, 3, 1, 7, 2, 7, 0];5.81;15.91;2.48
218;18;24;59;[1, 6, 3, 1, 7, 2, 7, 0];6.19;15.89;2.58
219;18;27;57;[1, 6, 3, 1, 7, 2, 7, 0];6.08;15.85;2.64
220;15;26;61;[1, 6, 3, 1, 7, 2, 7, 0];5.74;15.85;2.59
221;21;25;57;[1, 6, 3, 1, 7, 2, 7, 0];5.78;15.85;2.59
222;15;25;63;[1, 6, 3, 1, 7, 2, 7, 0];5.45;15.85;2.55
223;20;24;59;[0, 2, 4, 0, 4, 5, 1, 3];5.68;15.78;2.64
224;18;23;61;[0, 2, 4, 0, 4, 5, 1, 3];6.3;15.84;2.74
225;20;26;55;[0, 2, 4, 0, 4, 5, 1, 3];5.28;15.84;2.69
226;18;24;61;[0, 2, 4, 0, 4, 5, 1, 3];5.27;16.39;1.87
227;23;21;58;[0, 2, 4, 0, 4, 5, 1, 3];5.57;16.46;1.83
228;19;25;57;[3, 4, 1, 0, 7, 5, 7, 2];5.17;16.73;1.57
229;21;22;59;[3, 4, 1, 0, 7, 5, 7, 2];5.69;16.71;1.62
230;20;21;62;[3, 4, 1, 0, 7, 5, 7, 2];5.97;16.6;1.69
231;24;23;56;[3, 4, 1, 0, 7, 5, 7, 2];5.61;16.62;1.71
232;18;23;60;[3, 4, 1, 0, 7, 5, 7, 2];5.81;16.69;1.63
233;20;26;57;[3, 4, 1, 0, 7, 5, 7, 2];5.54;16.7;1.62
234;19;28;53;[5, 5, 7, 4, 5, 1, 7, 4];5.36;16.67;1.64
235;20;27;54;[5, 5, 7, 4, 5, 1, 7, 4];5.63;16.72;1.71
236;17;26;59;[5, 5, 7, 4, 5, 1, 7, 4];5.83;16.68;1.75
237;15;27;59;[5, 5, 7, 4, 5, 1, 7, 4];6.71;16.73;1.9
238;15;27;61;[5, 5, 7, 4, 5, 1, 7, 4];7.47;16.78;1.95
239;15;28;60;[5, 5, 7, 4, 5, 1, 7, 4];7.47;16.78;1.95
240;12;28;61;[5, 5, 7, 4, 5, 1, 7, 4];6.57;16.78;1.96
241;16;29;59;[3, 4, 1, 0, 7, 5, 7, 2];6.91;16.77;2.0
242;17;23;63;[3, 4, 1, 0, 7, 5, 7, 2];8.14;16.77;2.05
243;17;25;61;[3, 4, 1, 0, 7, 5, 7, 2];7.86;16.77;2.05
244;12;27;62;[3, 4, 1, 0, 7, 5, 7, 2];7.41;16.77;2.05
245;15;27;60;[3, 4, 1, 0, 7, 5, 7, 2];7.09;16.77;2.04
246;16;29;56;[3, 4, 1, 0, 7, 5, 7, 2];7.23;16.74;2.09
247;18;29;56;[3, 4, 1, 0, 7, 5, 7, 2];7.14;16.74;2.09
248;18;27;57;[3, 2, 5, 7, 3, 1, 2, 3];6.88;16.74;2.08
249;18;27;56;[3, 2, 5, 7, 3, 1, 2, 3];6.8;16.76;2.0
250;21;22;60;[3, 2, 5, 7, 3, 1, 2, 3];7.0;16.76;2.0
251;20;25;57;[3, 2, 5, 7, 3, 1, 2, 3];6.19;16.76;2.0
252;18;26;58;[3, 2, 5, 7, 3, 1, 2, 3];6.32;16.79;2.0
253;19;26;59;[3, 2, 5, 7, 3, 1, 2, 3];7.17;16.79;2.09
254;16;25;61;[3, 2, 5, 7, 3, 1, 2, 3];7.21;16.88;2.04
255;20;26;56;[3, 2, 5, 7, 3, 1, 2, 3];6.92;16.88;2.04
256;18;26;58;[3, 4, 1, 0, 7, 5, 7, 2];7.09;16.89;2.04
257;16;25;62;[3, 4, 1, 0, 7, 5, 7, 2];7.77;16.81;2.14
258;17;26;62;[5, 6, 0, 4, 5, 7, 4, 7];7.08;16.81;2.13
259;15;26;60;[5, 6, 0, 4, 5, 7, 4, 7];7.73;16.77;2.27
260;15;27;59;[5, 6, 0, 4, 5, 7, 4, 7];8.79;16.69;2.37
261;16;28;57;[5, 6, 0, 4, 5, 7, 4, 7];9.11;16.72;2.5
262;13;30;58;[5, 6, 0, 4, 5, 7, 4, 7];8.25;16.72;2.45
263;16;30;58;[5, 6, 0, 4, 5, 7, 4, 7];8.15;16.72;2.45
264;14;29;60;[5, 6, 0, 4, 5, 7, 4, 7];8.25;16.72;2.45
265;18;26;59;[5, 6, 0, 4, 5, 7, 4, 7];9.21;16.81;2.47
266;15;27;61;[5, 6, 0, 4, 5, 7, 4, 7];9.89;16.81;2.56
267;15;28;60;[5, 6, 0, 4, 5, 7, 4, 7];9.47;16.81;2.53
268;17;27;59;[5, 6, 0, 4, 5, 7, 4, 7];9.15;16.81;2.5
269;16;27;61;[5, 6, 0, 4, 5, 7, 4, 7];8.76;16.81;2.48
270;18;26;58;[5, 6, 0, 4, 5, 7, 4, 7];8.95;16.81;2.48
271;16;28;57;[3, 2, 2, 0, 3, 1, 1, 3];9.35;16.78;2.55
272;18;28;56;[3, 2, 2, 0, 3, 1, 1, 3];9.79;16.77;2.68
273;15;28;60;[3, 2, 2, 0, 3, 1, 1, 3];9.45;16.77;2.65
274;17;31;54;[3, 2, 2, 0, 3, 1, 1, 3];9.1;16.77;2.65
275;14;30;58;[3, 2, 2, 0, 3, 1, 1, 3];10.05;16.8;2.84
276;12;32;57;[3, 1, 1, 0, 4, 4, 1, 7];9.6;16.81;2.9
277;16;31;57;[3, 1, 1, 0, 4, 4, 1, 7];9.57;16.81;2.86
278;12;32;58;[3, 1, 1, 0, 4, 4, 1, 7];9.45;16.81;2.82
279;16;31;56;[3, 1, 1, 0, 4, 4, 1, 7];9.39;16.81;2.78
280;17;29;57;[3, 1, 1, 0, 4, 4, 1, 7];9.29;16.81;2.75
281;18;30;54;[3, 1, 1, 0, 4, 4, 1, 7];9.7;16.8;2.96
282;19;29;55;[3, 1, 1, 0, 4, 4, 1, 7];9.65;16.81;3.04
283;20;31;52;[3, 1, 1, 0, 4, 4, 1, 7];8.83;16.81;3.0
284;17;32;55;[5, 2, 2, 4, 5, 1, 7, 4];8.32;16.94;2.92
285;20;30;50;[5, 2, 2, 4, 5, 1, 7, 4];8.12;16.94;2.88
286;20;28;53;[5, 2, 2, 4, 5, 1, 7, 4];8.35;16.9;2.92
287;21;31;50;[5, 2, 2, 4, 5, 1, 7, 4];7.88;16.87;2.96
288;15;29;59;[5, 2, 2, 4, 5, 1, 7, 4];8.27;16.88;3.0
289;18;29;56;[5, 2, 2, 4, 5, 1, 7, 4];7.61;16.86;2.93
290;22;26;55;[5, 2, 2, 4, 5, 1, 7, 4];7.66;16.86;2.9
291;19;26;56;[5, 2, 2, 4, 5, 1, 7, 4];6.85;16.86;2.79
292;22;25;55;[5, 2, 2, 4, 5, 1, 7, 4];6.31;16.86;2.72
293;24;27;51;[5, 2, 2, 4, 5, 1, 7, 4];5.63;16.86;2.68
294;23;28;51;[5, 2, 2, 4, 5, 1, 7, 4];5.21;16.96;2.51
295;23;28;50;[5, 2, 2, 4, 5, 1, 7, 4];4.9;16.96;2.51
296;25;26;54;[5, 2, 2, 4, 5, 1, 7, 4];5.49;17.12;2.37
297;22;25;56;[5, 2, 2, 4, 5, 1, 7, 4];5.53;17.12;2.36
298;24;24;53;[5, 2, 2, 4, 5, 1, 7, 4];5.79;17.08;2.38
299;24;24;54;[5, 2, 2, 4, 5, 1, 7, 4];5.91;17.08;2.44
300;22;23;57;[5, 2, 2, 4, 5, 1, 7, 4];5.78;17.05;2.47
301;21;23;58;[5, 2, 2, 4, 5, 1, 7, 4];6.1;17.09;2.5
302;18;23;60;[5, 2, 2, 4, 5, 1, 7, 4];5.64;17.09;2.45
303;20;25;58;[5, 2, 2, 4, 5, 1, 7, 4];5.44;17.07;2.53
304;18;25;60;[2, 2, 1, 7, 6, 4, 2, 5];4.71;17.07;2.49
305;22;27;54;[4, 2, 6, 0, 4, 0, 5, 3];4.81;17.13;2.38
306;20;26;58;[4, 2, 6, 0, 4, 0, 5, 3];5.45;17.06;2.52
307;18;30;53;[4, 2, 6, 0, 4, 0, 5, 3];5.3;17.03;2.63
308;17;30;54;[4, 2, 6, 0, 4, 0, 5, 3];5.31;16.99;2.69
309;20;27;57;[4, 2, 6, 0, 4, 0, 5, 3];5.62;17.12;2.73
310;19;25;58;[4, 2, 6, 0, 4, 0, 5, 3];5.85;17.09;2.77
311;18;23;61;[4, 2, 6, 0, 4, 0, 5, 3];6.04;17.09;2.77
312;19;23;60;[1, 2, 2, 3, 1, 1, 1, 3];6.0;17.09;2.77
313;17;22;63;[1, 2, 2, 3, 1, 1, 1, 3];7.41;17.05;3.14
314;15;23;64;[1, 2, 2, 3, 1, 1, 1, 3];6.88;17.05;3.04
315;16;22;64;[1, 2, 2, 3, 1, 1, 1, 3];6.65;17.05;2.96
