Day;AnimalsCount;GrassCount;EmptyFields;MostPopularGene;AverageEnergy;AverageLifespan;AverageChildrenCount
1;13;13;75;[3, 7, 2, 5, 6, 7, 6, 0];8.88;0.0;0.13
2;13;17;71;[3, 7, 2, 5, 6, 7, 6, 0];8.44;0.0;0.13
3;15;21;64;[3, 7, 2, 5, 6, 7, 6, 0];7.75;0.0;0.13
4;14;24;63;[3, 7, 2, 5, 6, 7, 6, 0];6.82;0.0;0.24
5;13;27;62;[3, 7, 2, 5, 6, 7, 6, 0];6.17;0.0;0.33
6;13;27;65;[3, 7, 2, 5, 6, 7, 6, 0];6.06;0.0;0.33
7;13;28;61;[3, 7, 2, 5, 6, 7, 6, 0];5.89;0.0;0.33
8;11;30;59;[3, 7, 2, 5, 6, 7, 6, 0];5.32;0.0;0.42
9;13;32;57;[3, 7, 2, 5, 6, 7, 6, 0];5.76;7.0;0.41
10;14;34;54;[3, 7, 2, 5, 6, 7, 6, 0];5.5;7.0;0.5
11;14;33;57;[3, 7, 2, 5, 6, 7, 6, 0];6.5;8.2;0.56
12;14;30;58;[3, 7, 2, 5, 6, 7, 6, 0];6.71;8.2;0.65
13;16;32;56;[3, 3, 1, 4, 0, 1, 5, 1];6.53;8.2;0.65
14;14;30;60;[3, 3, 1, 4, 0, 1, 5, 1];7.06;8.67;0.71
15;15;28;60;[6, 1, 4, 4, 2, 4, 5, 6];7.59;9.29;0.82
16;16;29;58;[6, 1, 4, 4, 2, 4, 5, 6];7.17;9.29;0.89
17;16;27;60;[6, 1, 4, 4, 2, 4, 5, 6];8.44;9.67;0.88
18;13;28;62;[6, 1, 4, 4, 2, 4, 5, 6];8.63;10.3;1.0
19;13;27;62;[6, 1, 4, 4, 2, 4, 5, 6];9.4;10.18;0.93
20;13;28;62;[6, 1, 4, 4, 2, 4, 5, 6];8.69;10.18;1.0
21;14;28;60;[6, 1, 4, 4, 2, 4, 5, 6];8.81;10.18;1.0
22;14;29;59;[6, 1, 4, 4, 2, 4, 5, 6];8.75;10.18;1.0
23;13;28;62;[6, 1, 4, 4, 2, 4, 5, 6];9.87;10.83;0.93
24;14;31;57;[6, 1, 4, 4, 2, 4, 5, 6];9.6;10.83;0.93
25;11;31;62;[6, 1, 4, 4, 2, 4, 5, 6];9.87;11.54;1.0
26;12;32;58;[6, 1, 4, 4, 2, 4, 5, 6];9.67;11.54;1.0
27;13;33;58;[6, 1, 4, 4, 2, 4, 5, 6];9.06;11.54;1.06
28;13;32;58;[6, 1, 4, 4, 2, 4, 5, 6];9.12;11.54;1.12
29;12;31;61;[6, 1, 4, 4, 2, 4, 5, 6];9.71;11.93;1.35
30;14;31;59;[6, 1, 4, 4, 2, 4, 5, 6];10.29;12.38;1.47
31;13;29;60;[6, 1, 4, 4, 2, 4, 5, 6];10.17;12.38;1.5
32;14;29;59;[6, 1, 4, 4, 2, 4, 5, 6];9.84;12.38;1.53
33;15;28;59;[6, 1, 4, 4, 2, 4, 5, 6];10.05;13.06;1.47
34;15;28;59;[6, 1, 4, 4, 2, 4, 5, 6];9.89;13.06;1.47
35;15;29;56;[6, 1, 4, 4, 2, 4, 5, 6];9.95;13.06;1.47
36;15;30;56;[6, 1, 4, 4, 2, 4, 5, 6];10.0;13.06;1.47
37;14;32;56;[6, 1, 4, 4, 2, 4, 5, 6];9.74;14.05;1.37
38;12;33;57;[6, 1, 4, 4, 2, 4, 5, 6];9.3;13.85;1.5
39;18;32;54;[6, 1, 4, 4, 2, 4, 5, 6];9.2;13.85;1.5
40;17;35;52;[6, 1, 4, 4, 2, 4, 5, 6];9.56;14.32;1.33
41;17;36;48;[6, 1, 4, 4, 2, 4, 5, 6];9.33;14.32;1.33
42;16;31;56;[6, 1, 4, 4, 2, 4, 5, 6];10.82;15.48;1.0
43;12;33;56;[3, 4, 3, 2, 3, 4, 6, 1];9.15;15.48;1.15
44;15;33;54;[3, 4, 3, 2, 3, 4, 6, 1];9.35;15.48;1.15
45;17;31;55;[3, 4, 3, 2, 3, 4, 6, 1];9.14;15.48;1.19
46;19;25;60;[3, 4, 3, 2, 3, 4, 6, 1];9.41;15.48;1.23
47;18;25;59;[3, 4, 3, 2, 3, 4, 6, 1];8.63;15.48;1.29
48;17;26;58;[3, 4, 3, 2, 3, 4, 6, 1];8.38;15.28;1.21
49;17;27;56;[3, 4, 3, 2, 3, 4, 6, 1];7.92;15.28;1.21
50;17;27;57;[3, 4, 3, 2, 3, 4, 6, 1];7.58;15.46;1.13
51;14;28;59;[3, 4, 3, 2, 3, 4, 6, 1];6.96;15.46;1.16
52;17;30;54;[3, 4, 5, 4, 2, 1, 2, 5];6.64;15.46;1.24
53;20;33;49;[6, 1, 4, 4, 2, 4, 5, 6];5.88;15.46;1.24
54;16;34;54;[6, 1, 4, 4, 2, 4, 5, 6];5.75;15.28;1.29
55;18;34;51;[6, 1, 4, 4, 2, 4, 5, 6];6.33;16.34;1.24
56;15;34;53;[6, 1, 4, 4, 2, 4, 5, 6];7.76;16.58;1.29
57;14;33;57;[6, 1, 4, 4, 2, 4, 5, 6];8.06;16.43;1.35
58;15;35;53;[6, 1, 4, 4, 2, 4, 5, 6];7.17;16.43;1.39
59;14;33;57;[6, 1, 4, 4, 2, 4, 5, 6];7.32;16.43;1.42
60;16;32;56;[6, 1, 4, 4, 2, 4, 5, 6];7.37;16.43;1.42
61;13;33;57;[6, 1, 4, 4, 2, 4, 5, 6];7.05;16.45;1.47
62;15;34;53;[6, 1, 4, 4, 2, 4, 5, 6];6.75;16.45;1.5
63;15;31;57;[6, 1, 4, 4, 2, 4, 5, 6];7.1;16.45;1.52
64;15;34;52;[6, 1, 4, 4, 2, 4, 5, 6];6.57;16.31;1.57
65;17;32;55;[6, 1, 4, 4, 2, 4, 5, 6];6.95;16.73;1.57
66;21;32;49;[6, 1, 4, 4, 2, 4, 5, 6];6.71;16.73;1.57
67;19;32;52;[6, 1, 4, 4, 2, 4, 5, 6];7.1;16.98;1.55
68;15;32;57;[6, 1, 4, 4, 2, 4, 5, 6];7.05;16.98;1.57
69;19;32;53;[3, 4, 5, 4, 2, 1, 2, 5];7.1;17.98;1.62
70;17;33;51;[3, 4, 5, 4, 2, 1, 2, 5];7.3;18.6;1.6
71;14;31;59;[3, 4, 5, 4, 2, 1, 2, 5];7.6;18.6;1.6
72;16;29;56;[3, 4, 5, 4, 2, 1, 2, 5];7.8;18.5;1.65
73;13;28;61;[3, 4, 5, 4, 2, 1, 2, 5];7.95;18.5;1.67
74;17;26;60;[3, 4, 5, 4, 2, 1, 2, 5];7.77;18.5;1.68
75;16;26;61;[3, 4, 5, 4, 2, 1, 2, 5];7.48;18.31;1.78
76;13;24;66;[3, 4, 5, 4, 2, 1, 2, 5];7.24;18.48;1.84
77;16;25;60;[3, 4, 5, 4, 2, 1, 2, 5];6.14;18.48;1.86
