Day;AnimalsCount;GrassCount;EmptyFields;MostPopularGene;AverageEnergy;AverageLifespan;AverageChildrenCount
78;19;25;58;[3, 4, 5, 4, 2, 1, 2, 5];5.76;18.48;1.86
79;18;23;59;[3, 4, 5, 4, 2, 1, 2, 5];5.86;19.11;1.66
80;22;23;57;[3, 4, 5, 4, 2, 1, 2, 5];5.63;19.11;1.67
81;23;24;56;[3, 4, 5, 4, 2, 1, 2, 5];5.27;19.11;1.67
82;18;23;59;[3, 4, 5, 4, 2, 1, 2, 5];5.54;20.58;1.36
83;20;24;57;[3, 4, 5, 4, 2, 1, 2, 5];5.0;20.58;1.4
84;19;23;61;[3, 4, 5, 4, 2, 1, 2, 5];5.46;20.0;1.43
85;23;22;58;[3, 4, 5, 4, 2, 1, 2, 5];5.41;20.06;1.33
86;19;23;61;[3, 4, 5, 4, 2, 1, 2, 5];5.31;19.85;1.31
87;19;24;58;[3, 4, 5, 4, 2, 1, 2, 5];5.33;19.7;1.33
88;22;23;56;[3, 4, 5, 4, 2, 1, 2, 5];5.48;19.67;1.3
89;18;23;60;[3, 4, 5, 4, 2, 1, 2, 5];5.73;19.54;1.27
90;18;21;63;[3, 4, 5, 4, 2, 1, 2, 5];6.4;19.3;1.35
91;13;22;66;[3, 4, 5, 4, 2, 1, 2, 5];6.2;19.11;1.4
92;15;27;59;[3, 4, 5, 4, 2, 1, 2, 5];5.3;19.11;1.4
93;16;26;59;[3, 4, 5, 4, 2, 1, 2, 5];5.0;19.11;1.43
94;15;25;61;[3, 4, 5, 4, 2, 1, 2, 5];5.84;20.14;1.11
95;13;25;64;[3, 4, 5, 4, 2, 1, 2, 5];6.56;20.26;1.17
96;16;27;59;[3, 4, 5, 4, 2, 1, 2, 5];6.11;20.26;1.21
97;13;28;60;[3, 4, 5, 4, 2, 1, 2, 5];6.71;21.56;0.82
98;14;27;63;[3, 4, 5, 4, 2, 1, 2, 5];7.87;21.59;0.87
99;12;28;62;[3, 4, 5, 4, 2, 1, 2, 5];7.75;21.59;0.88
100;13;31;57;[1, 5, 0, 7, 4, 4, 5, 1];7.87;21.4;0.87
101;11;31;62;[1, 5, 0, 7, 4, 4, 5, 1];8.13;21.75;1.0
102;12;32;60;[1, 5, 0, 7, 4, 4, 5, 1];8.31;22.01;1.06
103;13;32;59;[1, 5, 0, 7, 4, 4, 5, 1];8.12;22.01;1.12
104;15;33;54;[1, 5, 0, 7, 4, 4, 5, 1];8.12;22.01;1.12
105;14;34;56;[1, 5, 0, 7, 4, 4, 5, 1];8.0;22.01;1.12
106;16;36;52;[1, 5, 0, 7, 4, 4, 5, 1];8.25;22.09;1.0
107;15;35;54;[1, 5, 0, 7, 4, 4, 5, 1];8.69;22.09;1.0
108;14;33;55;[1, 5, 0, 7, 4, 4, 5, 1];9.87;21.95;1.0
109;13;36;53;[1, 5, 0, 7, 4, 4, 5, 1];9.06;21.95;1.06
110;14;37;54;[1, 5, 0, 7, 4, 4, 5, 1];8.65;21.95;1.12
111;15;34;55;[1, 5, 0, 7, 4, 4, 5, 1];9.47;21.81;1.18
112;17;33;54;[1, 5, 0, 7, 4, 4, 5, 1];9.71;21.81;1.18
113;16;32;55;[1, 5, 0, 7, 4, 4, 5, 1];9.61;21.81;1.22
114;11;30;61;[1, 5, 0, 7, 4, 4, 5, 1];9.5;21.72;1.4
115;15;28;59;[1, 5, 0, 7, 4, 4, 5, 1];9.0;21.72;1.48
116;16;31;56;[1, 5, 0, 7, 4, 4, 5, 1];8.25;21.85;1.42
117;18;31;54;[1, 5, 0, 7, 4, 4, 5, 1];7.62;21.85;1.46
118;19;30;53;[1, 5, 0, 7, 4, 4, 5, 1];8.0;21.85;1.46
119;17;32;55;[1, 5, 0, 7, 4, 4, 5, 1];6.97;21.85;1.52
120;20;32;51;[1, 5, 0, 7, 4, 4, 5, 1];7.07;21.85;1.52
121;21;27;56;[1, 5, 0, 7, 4, 4, 5, 1];7.03;21.85;1.55
122;21;26;54;[1, 5, 0, 7, 4, 4, 5, 1];6.71;21.85;1.55
123;19;25;58;[3, 6, 6, 6, 6, 1, 0, 1];7.28;21.78;1.31
124;24;25;51;[3, 6, 6, 6, 6, 1, 0, 1];7.32;21.88;1.14
125;21;26;55;[3, 6, 6, 6, 6, 1, 0, 1];6.9;21.88;1.17
126;19;25;57;[4, 4, 7, 7, 4, 1, 7, 1];6.59;21.74;1.31
127;22;23;58;[4, 4, 7, 7, 4, 1, 7, 1];6.5;21.74;1.35
128;23;18;62;[4, 4, 7, 7, 4, 1, 7, 1];6.77;21.74;1.37
129;23;17;64;[4, 4, 7, 7, 4, 1, 7, 1];6.5;21.7;1.31
130;25;19;58;[4, 4, 7, 7, 4, 1, 7, 1];5.95;21.73;1.32
131;25;18;58;[4, 4, 7, 7, 4, 1, 7, 1];6.11;21.34;1.31
132;25;18;59;[4, 4, 7, 7, 4, 1, 7, 1];6.24;21.05;1.24
133;27;20;56;[4, 4, 7, 7, 4, 1, 7, 1];5.82;21.06;1.18
134;25;18;61;[0, 4, 0, 7, 4, 1, 2, 1];5.88;21.14;1.24
135;27;16;61;[0, 4, 0, 7, 4, 1, 2, 1];6.4;21.06;1.2
136;25;18;61;[0, 4, 0, 7, 4, 1, 2, 1];5.9;21.06;1.2
137;25;20;58;[0, 4, 0, 7, 4, 1, 2, 1];5.72;20.94;1.17
138;22;20;60;[0, 4, 0, 7, 4, 1, 2, 1];5.89;20.86;1.19
139;22;18;63;[0, 4, 0, 7, 4, 1, 2, 1];5.96;20.74;1.22
140;23;21;58;[0, 4, 0, 7, 4, 1, 2, 1];5.32;20.74;1.25
141;20;22;60;[0, 4, 0, 7, 4, 1, 2, 1];6.25;20.66;1.38
142;19;23;59;[0, 4, 0, 7, 4, 1, 2, 1];6.22;20.68;1.43
143;18;26;57;[0, 4, 0, 7, 4, 1, 2, 1];6.43;20.98;1.38
144;18;27;59;[0, 4, 0, 7, 4, 1, 2, 1];5.91;20.98;1.41
145;18;28;57;[0, 4, 0, 7, 4, 1, 2, 1];6.14;20.84;1.43
146;17;25;61;[0, 4, 0, 7, 4, 1, 2, 1];7.05;20.83;1.45
147;17;22;63;[0, 4, 0, 7, 4, 1, 2, 1];7.33;20.83;1.48
148;20;23;60;[0, 4, 0, 7, 4, 1, 2, 1];7.29;20.83;1.48
149;18;25;58;[4, 4, 7, 7, 4, 1, 7, 1];7.35;20.75;1.5
150;13;27;61;[4, 4, 7, 7, 4, 1, 7, 1];7.15;20.7;1.5
151;17;27;59;[4, 4, 7, 7, 4, 1, 7, 1];8.06;20.62;1.5
152;15;29;57;[4, 4, 7, 7, 4, 1, 7, 1];7.4;20.62;1.55
153;15;28;59;[4, 4, 7, 7, 4, 1, 7, 1];6.78;20.62;1.61
154;18;27;57;[4, 4, 7, 7, 4, 1, 7, 1];6.91;20.55;1.7
155;17;28;58;[4, 4, 7, 7, 4, 1, 7, 1];7.32;20.48;1.82
156;17;28;57;[4, 4, 7, 7, 4, 1, 7, 1];8.05;20.69;1.5
157;17;28;58;[4, 4, 7, 7, 4, 1, 7, 1];7.67;20.69;1.52
158;16;27;58;[4, 4, 7, 7, 4, 1, 7, 1];7.22;20.69;1.57
159;16;27;58;[4, 4, 7, 7, 4, 1, 7, 1];7.43;20.69;1.57
160;18;26;61;[4, 4, 7, 7, 4, 1, 7, 1];7.5;20.9;1.42
161;19;24;58;[4, 4, 7, 7, 4, 1, 7, 1];7.52;20.9;1.44
162;18;24;60;[4, 4, 7, 7, 4, 1, 7, 1];7.79;20.86;1.5
163;19;24;61;[4, 4, 7, 7, 4, 1, 7, 1];7.83;20.86;1.5
164;18;25;59;[4, 4, 7, 7, 4, 1, 7, 1];7.52;20.78;1.44
165;21;26;56;[4, 4, 7, 7, 4, 1, 7, 1];6.93;20.78;1.48
166;19;26;59;[4, 4, 7, 7, 4, 1, 7, 1];6.71;20.78;1.5
167;23;25;55;[4, 4, 7, 7, 4, 1, 7, 1];6.52;20.67;1.48
168;20;22;61;[4, 4, 7, 7, 4, 1, 7, 1];6.83;20.63;1.48
169;22;23;57;[4, 4, 7, 7, 4, 1, 7, 1];6.66;20.63;1.48
170;21;25;59;[5, 0, 1, 4, 5, 1, 3, 1];6.57;20.5;1.43
171;18;24;62;[5, 0, 1, 4, 5, 1, 3, 1];8.08;20.38;1.38
172;16;25;62;[5, 0, 6, 6, 4, 3, 7, 5];7.36;20.38;1.4
173;19;29;54;[5, 0, 1, 4, 5, 1, 3, 1];6.68;20.38;1.4
174;17;29;57;[5, 0, 1, 4, 5, 1, 3, 1];6.79;20.17;1.42
175;19;27;57;[5, 0, 1, 4, 5, 1, 3, 1];7.5;20.24;1.55
176;17;24;63;[5, 0, 1, 4, 5, 1, 3, 1];7.95;20.18;1.64
177;15;24;62;[5, 0, 1, 4, 5, 1, 3, 1];7.83;20.17;1.65
178;16;23;65;[5, 0, 1, 4, 5, 1, 3, 1];7.75;20.14;1.63
179;17;21;63;[5, 0, 1, 4, 5, 1, 3, 1];7.31;20.14;1.65
180;20;19;64;[5, 0, 1, 4, 5, 1, 3, 1];7.84;20.09;1.76
181;16;20;67;[5, 0, 1, 4, 5, 1, 3, 1];8.12;20.05;1.8
182;20;21;63;[4, 7, 4, 4, 5, 3, 2, 3];7.76;19.98;1.76
183;20;23;58;[4, 7, 4, 4, 5, 3, 2, 3];7.15;19.98;1.77
184;20;24;57;[4, 7, 4, 4, 5, 3, 2, 3];6.92;19.97;1.77
185;19;25;59;[4, 7, 4, 4, 5, 3, 2, 3];6.48;19.97;1.78
186;21;26;55;[4, 7, 4, 4, 5, 3, 2, 3];6.8;19.88;1.8
187;21;23;58;[4, 7, 4, 4, 5, 3, 2, 3];7.2;19.81;1.8
188;17;23;62;[4, 7, 4, 4, 5, 3, 2, 3];7.36;19.68;1.88
189;18;23;62;[4, 7, 4, 4, 5, 3, 2, 3];7.44;19.61;1.88
190;19;23;60;[4, 7, 4, 4, 5, 3, 2, 3];7.63;19.53;1.92
191;20;24;57;[4, 7, 4, 4, 5, 3, 2, 3];7.29;19.53;1.92
192;17;22;64;[4, 7, 4, 4, 5, 3, 2, 3];7.48;19.53;1.92
193;18;20;63;[1, 1, 0, 6, 7, 6, 5, 2];7.76;19.63;1.84
194;21;20;61;[1, 1, 0, 6, 7, 6, 5, 2];7.68;19.56;1.88
195;21;20;60;[1, 1, 0, 6, 7, 6, 5, 2];7.44;19.56;1.88
196;16;22;64;[1, 1, 0, 6, 7, 6, 5, 2];8.52;19.73;2.1
197;16;23;64;[1, 1, 0, 6, 7, 6, 5, 2];8.33;19.71;2.19
198;17;23;62;[1, 1, 0, 6, 7, 6, 5, 2];7.95;19.71;2.18
199;17;23;63;[1, 1, 0, 6, 7, 6, 5, 2];8.48;19.84;2.19
200;15;27;61;[1, 1, 0, 6, 7, 6, 5, 2];7.68;19.84;2.18
201;18;29;57;[1, 1, 0, 6, 7, 6, 5, 2];7.62;19.85;2.19
202;17;30;56;[1, 1, 0, 6, 7, 6, 5, 2];7.52;19.83;2.14
203;16;29;59;[1, 1, 0, 6, 7, 6, 5, 2];7.9;19.93;2.05
204;16;31;56;[1, 1, 0, 6, 7, 6, 5, 2];8.05;19.87;2.05
205;16;30;58;[1, 1, 0, 6, 7, 6, 5, 2];8.89;19.9;2.17
206;17;31;56;[1, 1, 0, 6, 7, 6, 5, 2];9.29;19.94;2.18
207;16;31;55;[1, 1, 0, 6, 7, 6, 5, 2];8.83;19.94;2.17
208;13;31;59;[1, 1, 0, 6, 7, 6, 5, 2];9.28;19.94;2.22
209;16;29;58;[1, 1, 0, 6, 7, 6, 5, 2];8.85;19.94;2.2
210;15;31;56;[1, 1, 0, 6, 7, 6, 5, 2];8.05;19.94;2.19
211;15;30;58;[1, 1, 0, 6, 7, 6, 5, 2];8.19;19.89;2.24
212;14;27;63;[1, 1, 0, 6, 7, 6, 5, 2];7.56;19.89;2.2
213;14;27;62;[1, 1, 0, 6, 7, 6, 5, 2];7.65;19.92;2.15
214;18;29;55;[1, 1, 0, 6, 7, 6, 5, 2];6.96;19.88;2.22
215;17;29;57;[1, 1, 0, 6, 7, 6, 5, 2];6.66;19.88;2.21
216;18;32;52;[1, 1, 0, 6, 7, 6, 5, 2];5.74;19.88;2.19
217;22;29;53;[1, 1, 0, 6, 7, 6, 5, 2];6.67;20.4;1.52
218;17;30;54;[1, 1, 0, 6, 7, 6, 5, 2];6.77;20.36;1.58
219;19;30;54;[1, 1, 0, 6, 7, 6, 5, 2];7.7;20.08;1.65
220;21;28;55;[1, 1, 0, 6, 7, 6, 5, 2];8.14;20.0;1.68
221;17;28;57;[1, 1, 0, 6, 7, 6, 5, 2];8.52;19.95;1.71
222;18;29;57;[1, 1, 0, 6, 7, 6, 5, 2];8.23;19.95;1.73
223;19;30;53;[1, 1, 0, 6, 7, 6, 5, 2];8.38;19.91;1.71
224;17;27;60;[1, 1, 0, 6, 7, 6, 5, 2];9.79;20.01;1.58
225;14;29;59;[1, 1, 0, 6, 7, 6, 5, 2];10.16;19.95;1.63
226;14;31;57;[1, 1, 0, 6, 7, 6, 5, 2];10.21;19.88;1.68
227;14;29;59;[1, 1, 0, 6, 7, 6, 5, 2];10.14;19.88;1.71
228;16;28;60;[1, 1, 0, 6, 7, 6, 5, 2];9.78;19.86;1.74
229;15;26;60;[1, 1, 0, 6, 7, 6, 5, 2];9.23;19.86;1.77
230;19;26;57;[1, 1, 0, 6, 7, 6, 5, 2];8.89;19.99;1.67
231;17;28;59;[1, 1, 0, 6, 7, 6, 5, 2];8.18;19.91;1.64
232;20;29;52;[1, 1, 0, 6, 7, 6, 5, 2];7.29;19.91;1.68
233;19;30;54;[1, 1, 0, 6, 7, 6, 5, 2];6.81;19.74;1.72
234;19;29;55;[4, 3, 0, 2, 4, 3, 7, 1];6.72;19.71;1.56
235;18;27;57;[4, 3, 0, 2, 4, 3, 7, 1];8.33;20.25;1.11
236;18;26;57;[4, 3, 0, 2, 4, 3, 7, 1];7.93;20.25;1.14
237;18;27;57;[4, 3, 0, 2, 4, 3, 7, 1];7.33;20.25;1.2
238;23;27;54;[4, 3, 0, 2, 4, 3, 7, 1];7.17;20.2;1.2
239;21;26;55;[4, 3, 0, 2, 4, 3, 7, 1];7.85;20.03;1.15
240;18;27;56;[4, 3, 0, 2, 4, 3, 7, 1];7.59;19.98;1.15
241;19;24;60;[4, 3, 0, 2, 4, 3, 7, 1];7.46;19.98;1.18
242;18;27;57;[4, 0, 0, 1, 2, 0, 5, 3];6.97;19.92;1.24
243;21;26;57;[4, 0, 0, 1, 2, 0, 5, 3];8.04;19.84;1.23
244;21;24;57;[4, 0, 0, 1, 2, 0, 5, 3];7.66;19.84;1.31
245;25;25;53;[4, 0, 0, 1, 2, 0, 5, 3];7.62;19.78;1.31
246;22;26;53;[4, 0, 0, 1, 2, 0, 5, 3];7.2;19.76;1.37
247;23;22;58;[4, 0, 0, 1, 2, 0, 5, 3];7.4;19.73;1.37
248;24;21;58;[4, 7, 7, 4, 6, 6, 3, 4];7.17;19.74;1.33
249;23;19;60;[4, 7, 7, 4, 6, 6, 3, 4];7.52;19.7;1.34
250;26;18;58;[4, 7, 7, 4, 6, 6, 3, 4];7.75;19.68;1.36
251;18;17;68;[4, 7, 7, 4, 6, 6, 3, 4];7.93;19.59;1.43
252;19;16;66;[4, 7, 7, 4, 6, 6, 3, 4];7.63;19.59;1.47
253;25;14;64;[4, 7, 7, 4, 6, 6, 3, 4];8.32;19.51;1.46
254;23;11;70;[4, 7, 7, 4, 6, 6, 3, 4];8.1;19.51;1.5
255;24;14;63;[4, 7, 7, 4, 6, 6, 3, 4];7.48;19.51;1.52
256;23;13;66;[4, 7, 7, 4, 6, 6, 3, 4];7.77;19.5;1.57
257;24;16;62;[4, 7, 7, 4, 6, 6, 3, 4];8.15;19.43;1.59
258;22;18;62;[4, 7, 7, 4, 6, 6, 3, 4];8.12;19.39;1.65
259;23;15;64;[4, 7, 7, 4, 6, 6, 3, 4];8.8;19.37;1.68
260;16;15;72;[1, 3, 5, 4, 2, 1, 5, 1];8.3;19.37;1.7
261;21;16;66;[1, 3, 5, 4, 2, 1, 5, 1];8.46;19.38;1.73
262;21;16;64;[1, 3, 5, 4, 2, 1, 5, 1];7.82;19.32;1.79
263;26;16;59;[6, 0, 4, 6, 6, 2, 3, 0];7.68;19.32;1.79
264;21;16;65;[6, 0, 4, 6, 6, 2, 3, 0];8.75;19.35;1.71
265;20;15;67;[6, 0, 4, 6, 6, 2, 3, 0];9.64;19.34;1.82
266;17;19;65;[6, 0, 4, 6, 6, 2, 3, 0];9.81;19.32;1.86
267;17;20;66;[6, 0, 4, 6, 6, 2, 3, 0];9.71;19.45;1.48
268;16;20;66;[6, 0, 4, 6, 6, 2, 3, 0];9.41;19.45;1.5
269;17;21;64;[7, 7, 4, 6, 6, 3, 1, 2];9.27;19.42;1.55
270;15;23;65;[7, 7, 4, 6, 6, 3, 1, 2];8.87;19.4;1.57
271;18;23;62;[7, 7, 4, 6, 6, 3, 1, 2];8.24;19.4;1.6
272;17;23;64;[7, 7, 4, 6, 6, 3, 1, 2];8.68;19.43;1.72
273;20;23;59;[5, 2, 7, 1, 4, 2, 0, 6];8.56;19.43;1.76
274;18;26;58;[5, 2, 2, 0, 6, 7, 0, 6];7.14;19.43;1.79
275;24;24;56;[5, 2, 2, 0, 6, 7, 0, 6];6.97;19.43;1.79
276;21;24;59;[5, 2, 2, 0, 6, 7, 0, 6];7.18;19.45;1.82
277;19;26;58;[5, 2, 2, 0, 6, 7, 0, 6];7.52;19.33;1.89
278;19;24;59;[5, 2, 2, 0, 6, 7, 0, 6];7.93;19.37;1.89
279;23;24;57;[5, 2, 2, 0, 6, 7, 0, 6];8.27;19.32;1.92
280;21;22;60;[5, 2, 2, 0, 6, 7, 0, 6];8.07;19.32;1.93
281;22;23;58;[5, 2, 2, 0, 6, 7, 0, 6];7.28;19.32;1.93
282;22;24;57;[5, 2, 2, 0, 6, 7, 0, 6];7.32;19.36;1.89
283;22;23;58;[5, 2, 2, 0, 6, 7, 0, 6];7.28;19.31;1.9
284;22;23;57;[5, 2, 2, 0, 6, 7, 0, 6];6.87;19.25;1.9
285;21;22;60;[5, 2, 2, 0, 6, 7, 0, 6];7.17;19.44;1.79
286;21;22;61;[5, 2, 2, 0, 6, 7, 0, 6];7.7;19.35;1.81
287;18;24;59;[5, 2, 2, 0, 6, 7, 0, 6];7.88;19.4;1.88
288;17;22;63;[5, 2, 2, 0, 6, 7, 0, 6];9.32;19.21;2.0
289;15;24;62;[5, 2, 2, 0, 6, 7, 0, 6];9.76;19.15;2.05
290;16;27;58;[5, 2, 2, 0, 6, 7, 0, 6];9.33;19.15;2.05
291;14;28;62;[5, 2, 2, 0, 6, 7, 0, 6];8.86;19.15;2.05
292;18;29;55;[5, 2, 2, 0, 6, 7, 0, 6];9.0;19.11;2.1
293;17;29;57;[5, 2, 2, 0, 6, 7, 0, 6];8.9;19.11;2.1
294;16;32;54;[5, 2, 2, 0, 6, 7, 0, 6];10.76;19.04;2.35
295;15;33;55;[5, 2, 2, 0, 6, 7, 0, 6];10.76;19.04;2.35
296;13;34;56;[5, 2, 2, 0, 6, 7, 0, 6];11.69;19.03;2.38
297;16;35;52;[5, 2, 2, 0, 6, 7, 0, 6];11.63;19.03;2.38
298;13;34;55;[5, 2, 2, 0, 6, 7, 0, 6];11.41;19.03;2.35
299;17;33;54;[5, 2, 2, 0, 6, 7, 0, 6];11.65;19.03;2.35
300;17;32;54;[5, 2, 2, 0, 6, 7, 0, 6];11.88;19.03;2.35
301;15;29;59;[5, 2, 2, 0, 6, 7, 0, 6];12.71;19.03;2.35
302;15;30;57;[5, 2, 2, 0, 6, 7, 0, 6];12.22;19.03;2.33
303;15;32;54;[5, 2, 2, 0, 6, 7, 0, 6];11.53;19.03;2.32
304;15;34;53;[5, 2, 2, 0, 6, 7, 0, 6];10.14;19.03;2.29
305;17;34;53;[5, 2, 2, 0, 6, 7, 0, 6];9.39;19.03;2.26
306;22;34;48;[5, 2, 2, 0, 6, 7, 0, 6];8.75;19.03;2.25
307;17;32;54;[5, 2, 2, 0, 6, 7, 0, 6];8.8;19.12;2.16
308;20;28;53;[5, 2, 2, 0, 6, 7, 0, 6];8.81;19.13;2.23
309;17;27;59;[5, 2, 2, 0, 6, 7, 0, 6];8.74;19.06;2.3
310;17;27;57;[5, 2, 2, 0, 6, 7, 0, 6];8.52;19.01;2.33
311;19;28;54;[5, 2, 2, 0, 6, 7, 0, 6];9.0;19.04;2.4
312;16;29;56;[5, 2, 2, 0, 6, 7, 0, 6];9.17;18.94;2.42
313;18;30;54;[5, 2, 2, 0, 6, 7, 0, 6];9.82;18.9;2.59
314;16;31;55;[5, 2, 2, 0, 6, 7, 0, 6];9.68;18.89;2.5
315;18;31;54;[5, 2, 2, 0, 6, 7, 0, 6];9.95;18.84;2.55
