Day;AnimalsCount;GrassCount;EmptyFields;MostPopularGene;AverageEnergy;AverageLifespan;AverageChildrenCount
1;12;11;79;[6, 4, 7, 7, 5, 7, 7, 1];8.67;0.0;0.33
2;17;13;72;[6, 4, 7, 7, 5, 7, 7, 1];8.28;0.0;0.33
3;15;16;69;[6, 4, 7, 7, 5, 7, 7, 1];7.0;0.0;0.5
4;16;18;66;[6, 4, 7, 7, 5, 7, 7, 1];6.65;0.0;0.5
5;17;19;65;[6, 4, 7, 7, 5, 7, 7, 1];6.6;0.0;0.5
6;16;19;67;[6, 4, 7, 7, 5, 7, 7, 1];6.95;5.0;0.47
7;15;19;68;[6, 4, 7, 7, 5, 7, 7, 1];7.0;5.0;0.47
8;16;18;68;[6, 4, 7, 7, 5, 7, 7, 1];7.61;5.0;0.5
9;18;20;64;[6, 4, 7, 7, 5, 7, 7, 1];7.11;5.0;0.5
10;15;22;65;[6, 4, 7, 7, 5, 7, 7, 1];6.61;5.0;0.5
11;11;22;69;[6, 4, 7, 7, 5, 7, 7, 1];8.0;7.29;0.6
12;14;24;65;[6, 4, 7, 7, 5, 7, 7, 1];7.6;7.29;0.6
13;13;27;61;[6, 4, 7, 7, 5, 7, 7, 1];7.57;7.38;0.57
14;10;29;63;[6, 4, 7, 7, 5, 7, 7, 1];8.58;8.2;0.42
15;11;29;63;[6, 4, 7, 7, 5, 7, 7, 1];8.83;8.2;0.42
16;10;31;62;[6, 4, 7, 7, 5, 7, 7, 1];9.45;8.64;0.45
17;10;31;63;[6, 4, 7, 7, 5, 7, 7, 1];10.0;8.64;0.45
18;10;35;58;[6, 4, 7, 7, 5, 7, 7, 1];9.27;8.64;0.45
19;8;37;57;[6, 4, 7, 7, 5, 7, 7, 1];9.45;9.25;0.64
20;10;37;56;[6, 4, 7, 7, 5, 7, 7, 1];10.9;9.85;0.6
21;10;37;57;[6, 4, 7, 7, 5, 7, 7, 1];11.5;9.85;0.6
22;8;36;59;[6, 4, 7, 7, 5, 7, 7, 1];11.18;9.85;0.73
23;10;35;59;[6, 4, 7, 7, 5, 7, 7, 1];13.2;10.29;0.8
24;9;36;58;[6, 4, 7, 7, 5, 7, 7, 1];13.4;10.29;0.8
25;8;35;61;[6, 4, 7, 7, 5, 7, 7, 1];14.6;11.13;0.9
26;10;34;60;[6, 4, 7, 7, 5, 7, 7, 1];15.5;11.13;0.9
27;8;35;60;[6, 4, 7, 7, 5, 7, 7, 1];13.33;11.13;1.08
28;12;37;53;[6, 4, 7, 7, 5, 7, 7, 1];13.08;11.13;1.08
29;10;39;53;[6, 4, 7, 7, 5, 7, 7, 1];13.17;11.13;1.08
30;9;40;54;[6, 4, 7, 7, 5, 7, 7, 1];11.29;11.13;1.21
31;9;42;53;[6, 4, 7, 7, 5, 7, 7, 1];9.41;11.13;1.35
32;13;41;50;[6, 4, 7, 7, 5, 7, 7, 1];9.11;11.13;1.42
33;15;39;50;[6, 4, 7, 7, 5, 7, 7, 1];9.42;11.13;1.42
34;14;39;51;[6, 4, 7, 7, 5, 7, 7, 1];10.76;11.41;1.35
35;14;40;49;[6, 4, 7, 7, 5, 7, 7, 1];10.06;11.41;1.39
36;13;40;50;[6, 4, 7, 7, 5, 7, 7, 1];9.53;11.41;1.42
37;13;38;51;[6, 4, 7, 7, 5, 7, 7, 1];9.45;11.41;1.45
38;16;37;49;[6, 4, 7, 7, 5, 7, 7, 1];10.11;11.06;1.47
39;12;39;52;[6, 4, 7, 7, 5, 7, 7, 1];11.35;11.0;1.41
40;14;38;50;[6, 4, 7, 7, 5, 7, 7, 1];11.53;11.0;1.41
41;13;38;52;[6, 4, 7, 7, 5, 7, 7, 1];12.5;11.41;1.31
42;14;38;51;[6, 4, 7, 7, 5, 7, 7, 1];11.88;11.41;1.35
43;13;39;52;[6, 4, 7, 7, 5, 7, 7, 1];11.71;11.41;1.35
44;11;39;54;[6, 4, 7, 7, 5, 7, 7, 1];12.56;11.17;1.38
45;12;39;51;[6, 4, 7, 7, 5, 7, 7, 1];11.94;11.17;1.41
46;12;40;51;[6, 4, 7, 7, 5, 7, 7, 1];12.75;11.12;1.56
47;13;37;53;[6, 4, 7, 7, 5, 7, 7, 1];15.36;12.29;1.43
48;13;37;54;[6, 4, 7, 7, 5, 7, 7, 1];15.5;12.29;1.43
49;12;37;55;[6, 4, 7, 7, 5, 7, 7, 1];16.07;12.14;1.5
50;13;39;51;[6, 4, 7, 7, 5, 7, 7, 1];15.07;12.14;1.53
51;13;39;52;[6, 4, 7, 7, 5, 7, 7, 1];15.2;12.14;1.53
